state,state_code,population,median_household_income,median_house_price,median_rent,gdp,hdi,,region
.Alabama,AL,4858979,41415,121858,938,207303,4.04,,South
.Alaska,AK,738432,69825,274442,1754,54256,5.06,,West
.Arizona,AZ,6828065,46709,206033,1241,295445,4.89,,West
.Arkansas,AR,2978204,38758,113125,998,122492,3.91,,South
.California,CA,39144818,67458,449250,2195,2424033,5.4,,West
.Colorado,CO,5456574,55387,286742,1684,316535,5.53,,West
.Connecticut,CT,3590886,65753,253767,1854,259661,6.17,,Northeast
.Delaware,DE,945934,57954,202717,1325,66150,5.22,,South
.Florida,FL,20271272,44299,186108,2911,883735,4.82,,South
.Georgia,GA,10214860,46007,139608,1585,496180,4.62,,South
.Hawaii,HI,1431603,62814,657083,1121,79595,5.53,,West
.Idaho,ID,1654930,43341,167875,2515,65202,4.5,,West
.Illinois,IL,12859995,53234,156325,989,764817,5.31,,Midwest
.Indiana,IN,6619680,46438,113417,1568,326538,4.56,,Midwest
.Iowa,IA,3123899,49427,129892,983,168089,5.03,,Midwest
.Kansas,KS,2911641,48964,122500,1045,146219,4.96,,Midwest
.Kentucky,KY,4425092,41141,126050,1060,192874,4.02,,South
.Louisiana,LA,4670724,41734,154000,991,252965,4.12,,South
.Maine,ME,1329328,46033,172000,1235,55137,4.93,,Northeast
.Maryland,MD,6006401,70004,259800,1374,360969,5.94,,South
.Massachusetts,MA,6794422,64859,341167,1739,473606,6.16,,Northeast
.Michigan,MI,9922576,45981,116767,2492,462252,4.76,,Midwest
.Minnesota,MN,5489594,61814,185958,910,330782,5.69,,Midwest
.Mississippi,MS,2992333,36919,113775,1441,106880,3.81,,West
.Missouri,MO,6083672,45247,132475,1003,287207,4.6,,Midwest
.Montana,MT,1032949,44222,184608,870,45799,4.54,,West
.Nebraska,NE,1896190,50296,135750,1060,112208,5.11,,Midwest
.Nevada,NV,2890845,48927,220975,1148,140608,4.63,,West
.New Hampshire,NH,1330608,64712,236225,1293,71632,5.73,,Northeast
.New Jersey,NJ,8958013,60287,288692,1589,573947,6.12,,Northeast
.New Mexico,NM,2085109,41963,164900,1862,90810,4.52,,West
.New York,NY,19795791,55246,238042,1121,1444406,5.66,,Northeast
.North Carolina,NC,10042802,43916,147750,3144,503745,4.57,,South
.North Dakota,ND,756927,51704,202858,1116,53686,4.9,,Midwest
.Ohio,OH,11613423,45749,118767,1017,592899,4.71,,Midwest
.Oklahoma,OK,3911338,43225,112608,1122,181089,4.14,,South
.Oregon,OR,4028977,46816,255850,1451,225661,4.86,,West
.Pennsylvania,PA,12802503,50228,156367,1277,677582,5.07,,Northeast
.Rhode Island,RI,1056298,53636,228200,1878,56323,5.38,,Northeast
.South Carolina,SC,4896146,42367,134275,1221,196887,4.35,,South
.South Dakota,SD,858469,48321,166742,1086,45415,4.79,,Midwest
.Tennessee,TN,6600299,41693,126642,1102,307125,4.22,,South
.Texas,TX,27469114,49392,148000,1419,1648007,4.65,,South
.Utah,UT,2995919,55869,221958,1285,146697,5.03,,West
.Vermont,VT,626042,52776,218908,1957,29750,5.31,,Northeast
.Virginia,VA,8382993,62881,221083,1527,476919,5.47,,South
.Washington,WA,7170351,57835,278758,1574,446096,5.4,,West
.West Virginia,WV,1844128,38482,91300,1096,71123,3.95,,South
.Wisconsin,WI,5771337,50395,155342,1127,296971,5.16,,Midwest
.Wyoming,WY,586107,56322,190200,1181,40170,4.83,,West