first_column,Northeast,Midwest,South,West,Year
"0-100,000",3,15,71,12,1999
">149,000",15,57,139,71,1999
">199,999",16,40,86,65,1999
">299,999",23,38,61,52,1999
">300,000",18,18,37,41,1999
"0-100,000",3,13,65,8,2000
">149,000",12,47,142,62,2000
">199,999",15,39,89,56,2000
">299,999",20,35,71,69,2000
">300,000",22,23,39,49,2000
"0-100,000",1,11,56,6,2001
">149,000",11,46,145,46,2001
">199,999",12,45,107,57,2001
">299,999",19,40,84,78,2001
">300,000",22,21,47,53,2001
"0-100,000",1,10,47,4,2002
">149,000",8,47,136,41,2002
">199,999",13,53,117,54,2002
">299,999",17,48,90,91,2002
">300,000",26,28,60,83,2002
"0-100,000",0,9,40,4,2003
">149,000",8,45,152,37,2003
">199,999",13,53,133,64,2003
">299,999",25,48,108,80,2003
">300,000",33,34,77,121,2003
"0-100,000",1,6,39,2,2004
">149,000",5,40,142,34,2004
">199,999",7,54,136,56,2004
">299,999",26,61,129,96,2004
">300,000",45,49,115,159,2004
"0-100,000",1,4,27,1,2005
">149,000",3,33,147,11,2005
">199,999",6,50,152,38,2005
">299,999",21,69,162,99,2005
">300,000",49,50,151,210,2005